,,,,
Date,Headline (m/m),Core (m/m),Regulated Items (m/m),Fruits and Vegetables (m/m)
Jul 2016,0.741%,0.246%,0.361%,3.841%
Jun 2016,0.777%,0.735%,0%,2.071%
May 2016,3.048%,3.151%,2.183%,3.713%
Apr 2016,1.265%,1.242%,0%,3.222%
Mar 2016,1.437%,1.618%,0.583%,1.705%
Feb 2016,0.965%,0.883%,1.189%,1.087%
Jan 2016,0.111%,0.983%,0%,-4.228%
Dec 2015,-0.089%,0.1%,0%,-1.172%
Nov 2015,-0.298%,0.957%,0.029%,-6.632%
Oct 2015,2.171%,1.229%,1.265%,8.158%
Sep 2015,2.475%,0.787%,0%,16.236%
Aug 2015,0.629%,-0.228%,0.148%,6.771%
Jul 2015,0.714%,0.302%,2.499%,0.287%
Jun 2015,-0.699%,0.611%,0%,-9.109%
May 2015,1.189%,0.651%,0.08%,6.156%
Apr 2015,0.109%,0.228%,-3.777%,6.295%
Mar 2015,1.545%,0.757%,2.11%,5.688%
Feb 2015,1.859%,1.1%,3.309%,4.319%
Jan 2015,0.987%,0.521%,2.502%,1.392%
Dec 2014,-0.072%,0.296%,0.177%,-2.957%
Nov 2014,-1.535%,-0.152%,0%,-12.022%
Oct 2014,1.713%,0.546%,3.397%,6.187%
Sep 2014,1.227%,0.844%,1.204%,3.693%
Aug 2014,1.092%,0.602%,0.516%,5.341%
Jul 2014,3.513%,1.791%,8.616%,6.818%
Jun 2014,0.838%,0.677%,0%,3.465%
May 2014,-0.734%,-0.232%,1.287%,-7.328%
Apr 2014,0.599%,0.248%,0%,4.023%
Mar 2014,0.684%,0.697%,0%,1.763%
Feb 2014,1.028%,1.019%,2.904%,-1.959%
Jan 2014,1.42%,1.11%,-0.786%,7.537%
Dec 2013,-1.017%,0.407%,-1.741%,-9.115%
Nov 2013,0.946%,0.464%,2.605%,1.448%
Oct 2013,1.06%,1.173%,1.724%,-0.711%
Sep 2013,1.569%,1.696%,0.626%,2.25%
Aug 2013,0.682%,0.141%,0.271%,5.051%
Jul 2013,0.864%,1.043%,0%,1.106%
Jun 2013,0.877%,0.767%,-0.883%,4.812%
May 2013,-0.157%,0%,0%,-1.533%
Apr 2013,1.471%,0.974%,0.503%,6.969%
Mar 2013,0.637%,0.508%,0%,2.845%
Feb 2013,2.499%,2.855%,1.106%,2.537%
Jan 2013,1.687%,1.311%,1.955%,4.067%
Dec 2012,0.15%,0.44%,0.747%,-3.157%
Nov 2012,-1.312%,-0.255%,-0.913%,-9.208%
Oct 2012,0.786%,1.179%,4.46%,-7.387%
Sep 2012,1.2%,-0.305%,1.964%,10.269%
Aug 2012,1.172%,0.228%,0%,10.525%
Jul 2012,0.384%,0.579%,-0.258%,0.108%
Jun 2012,-0.552%,0.281%,0%,-7.325%
May 2012,-0.237%,-0.524%,-0.615%,2.508%
Apr 2012,0.981%,0.557%,-0.994%,8.115%
Mar 2012,1.218%,1.119%,1.046%,2.327%
Feb 2012,0.665%,0.517%,0.497%,2.186%
Jan 2012,0.145%,0.549%,-0.959%,-0.797%
Dec 2011,-0.24%,0.211%,0%,-4.093%
Nov 2011,1.004%,0.168%,3.646%,2.38%
Oct 2011,0.331%,0.401%,1.483%,-2.305%
Sep 2011,1.434%,1.135%,-0.743%,8.185%
Aug 2011,1.102%,1.18%,0%,2.741%
Jul 2011,1.198%,1.24%,1.634%,-0.022%
Jun 2011,0.416%,0.454%,1.661%,-2.3%
May 2011,0.204%,0.537%,1.416%,-4.485%
Apr 2011,1.212%,0.847%,0.211%,5.988%
Mar 2011,1.368%,-0.165%,-0.323%,19.599%
Feb 2011,0.125%,0.113%,0.37%,-0.333%
Jan 2011,1.020%,0.7403%,0.00%,6.259%
Dec 2010,-0.679%,0.182%,0.514%,-10.791%
Nov 2010,-0.815%,0.692%,0%,-13.622%
Oct 2010,1.37%,0.728%,3.161%,2.922%
Sep 2010,1.689%,0.224%,0%,18.718%
Aug 2010,2.853%,2.818%,0%,10.206%
Jul 2010,2.507%,1.454%,5.379%,6.099%
Jun 2010,0.423%,0.341%,0.271%,1.644%
May 2010,0.453%,0.491%,0.013%,1.187%
Apr 2010,0.678%,0.636%,0%,2.884%
Mar 2010,0.661%,0.727%,0%,1.721%
Feb 2010,0.197%,0.328%,-0.688%,1.181%
Jan 2010,0.556%,0.654%,1.01%,-1.669%
Dec 2009,-0.7643%,-0.4687%,0%,-5.614%
Nov 2009,-0.069%,-0.075%,0.235%,-0.752%
Oct 2009,1.324%,0.252%,3.394%,7.44%
Sep 2009,1.657%,0.751%,0.036%,17.785%
Aug 2009,1.5%,0.714%,0.024%,8.695%
Jul 2009,2.2%,1.152%,0%,13.41%
Jun 2009,0.45%,0.312%,0.834%,0.695%
May 2009,1.21%,0.527%,0%,7.826%
Apr 2009,1.69%,1.103%,0.06%,9.134%
Mar 2009,1.234%,0.636%,0.137%,8.14%
Feb 2009,1.083%,0.903%,0%,4.865%
Jan 2009,0.457%,0.478%,0.958%,-0.515%
Dec 2008,-1.299%,-0.759%,0%,-7.82%
Nov 2008,-0.1%,-0.103%,0.449%,-0.096%
Oct 2008,-0.1%,0.117%,1.009%,-3.32%
Sep 2008,0.264%,0.554%,0.975%,-3.021%
Aug 2008,2.403%,2.119%,0%,9.243%
Jul 2008,2.245%,1.756%,1.761%,7.021%
Jun 2008,0.611%,0.891%,1.306%,-2.845%
May 2008,2.678%,2.192%,4.318%,3.14%
Apr 2008,2.055%,1.891%,1.216%,4.997%
Mar 2008,2.458%,2.843%,0%,4.568%
Feb 2008,1.82%,1.849%,0%,5.506%
Jan 2008,3.963%,4.608%,2.041%,3.235%
Dec 2007,0.426%,0.784%,0.108%,-1.133%
Nov 2007,-0.097%,0.527%,0.178%,-4.715%
Oct 2007,0.986%,0.674%,4.05%,-4.094%
Sep 2007,1.354%,0.666%,0.019%,9.147%
Aug 2007,1.08%,1.36%,0.819%,-0.078%
Jul 2007,1.021%,0.63%,2.234%,0.603%
Jun 2007,0.16%,0.496%,0.473%,-2.666%
May 2007,-0.195%,0.386%,0.002%,-4.09%
Apr 2007,0.36%,-0.147%,0%,4.349%
Mar 2007,0.411%,-0.134%,0.028%,4.915%
Feb 2007,0.268%,0.108%,0.001%,1.999%
Jan 2007,0.561%,0.781%,0.374%,-0.421%
Dec 2006,0.309%,0.116%,0%,2.397%
Nov 2006,0.47%,0.205%,0.704%,1.673%
Oct 2006,2.687%,2.29%,0.33%,12.448%
Sep 2006,1.07%,1.119%,0.007%,3.875%
Aug 2006,0.667%,0.287%,3.081%,-3.287%
Jul 2006,1.412%,0.64%,4.373%,-0.841%
Jun 2006,1.612%,3.093%,0.936%,-6.548%
May 2006,1.303%,1.773%,0%,1.459%
Apr 2006,1.371%,0.334%,3.444%,3.248%
Mar 2006,0.24%,-0.351%,0.686%,3.263%
Feb 2006,0.115%,-0.136%,0.093%,1.979%
Jan 2006,0.5%,0.859%,0.37%,-1.686%
Dec 2005,0.108%,0.078%,0.037%,0.507%
Nov 2005,0.174%,0.026%,0%,1.684%
Oct 2005,0.608%,0.223%,0.493%,3.776%
Sep 2005,0.442%,0.12%,-0.028%,4.247%
Aug 2005,0.208%,0.076%,0%,1.835%
Jul 2005,0.359%,0.125%,0.085%,3.065%
Jun 2005,-0.207%,0.172%,0.002%,-3.741%
May 2005,0.425%,0.394%,0%,1.902%
Apr 2005,0.652%,0.69%,0.051%,2.121%
Mar 2005,0.534%,0.537%,0.102%,1.803%
Feb 2005,-0.441%,0.034%,0.006%,-5.356%
Jan 2005,0.234%,0.014%,1.766%,-2.298%
,,,,
,,,,
"​1/ Source: Central Agency for Public Mobilization and Statistics (CAPMAS), and CBE calculations.",,,,
2/ Monthly and annual Data from January 2005 to December 2007 are based on the 1999/2000 Household Expenditure Survey,,,,
     Monthly Data from January 2008 to August 2009 are based on the 2004/2005 Household Expenditure Survey.,,,,
     Monthly Data from September 2009 to Present are based on the 2008/2009 Household Expenditure Survey.,,,,
     Annual Data from January 2008 to July 2010 are based on the 2004/2005 Household Expenditure Survey.,,,,
     Annual Data from August 2010 to Present are based on the 2008/2009 Household Expenditure Survey.,,,,
"     Monthly and annual Data from September 2019 are based on the 2017/2018 Household Income, Expenditure, and Consumption Survey (HIECS) as a start of the 10th CPI series. To link the 10th CPI series with the 9th CPI series, which used January 2010 as a base period and weights derived from the 2008/2009 HIECS, CAPMAS rescaled the CPI indices until August 2019 to the new base period of 2018/2019.",,,,
"3/ Core CPI excludes from the headline CPI regulated items and the most volatile food items, namely fruits & vegetables.",,,,
"    For more information on Core CPI, consult the CBE's publication ""The Core Inflation Measure"", published October 25, 2009.",,,,
"4/ Fruits & Vegetables do not include pulses, dried fruits, and processed vegetables which are part of the Core CPI.",,,,
