timesteps,split,months,mean_active_assets,mean_spearman,mean_mse,mean_reward,total_reward
512,inner_validation,12,35.75,0.5193531932611383,0.0753453893457018,0.6409436184790863,7.691323421749035
1024,inner_validation,12,35.75,0.5547684557635822,0.0744078244307843,0.6660155717052723,7.992186860463267
1536,inner_validation,12,35.75,0.5782123977733082,0.07272676153622536,0.6829306499804481,8.195167799765377
2048,inner_validation,12,35.75,0.5970077990175965,0.0710744944230862,0.6965831109853916,8.3589973318247
2560,inner_validation,12,35.75,0.599618407145278,0.06942994331513286,0.6989039020071547,8.386846824085856
3072,inner_validation,12,35.75,0.601264062274968,0.0678093447889297,0.7005420401557986,8.406504481869582
3584,inner_validation,12,35.75,0.6047051751884319,0.0664527111972765,0.7033578092727194,8.440293711272632
4096,inner_validation,12,35.75,0.6039490103496644,0.06525582969362807,0.7031875583366767,8.43825070004012
4608,inner_validation,12,35.75,0.6037174089066836,0.06435020558451786,0.7032971245593233,8.439565494711879
5120,inner_validation,12,35.75,0.6062739226536731,0.06322348795326863,0.7054246994715906,8.465096393659087
5632,inner_validation,12,35.75,0.6086623796904198,0.06279628425414358,0.7072247805070507,8.48669736608461
6144,inner_validation,12,35.75,0.6148636875775458,0.06177497372488841,0.7118720891868157,8.542465070241787
6656,inner_validation,12,35.75,0.6099769791637667,0.06146213324077485,0.7085452454424042,8.50254294530885
7168,inner_validation,12,35.75,0.6062543347729173,0.06111128769432252,0.7060446480327455,8.472535776392945
7680,inner_validation,12,35.75,0.6092648666219302,0.06059489839173371,0.7083069371178311,8.499683245413973
8192,inner_validation,12,35.75,0.6095744323809694,0.06005648526729037,0.7086851570864915,8.504221885037898
8704,inner_validation,12,35.75,0.6149444873516515,0.05960646607231763,0.7125792013244608,8.55095041589353
9216,inner_validation,12,35.75,0.6187639804837947,0.05885847635469756,0.7154772434322468,8.585726921186962
9728,inner_validation,12,35.75,0.618686184324401,0.0580082015606573,0.7156778685588835,8.588134422706602
10240,inner_validation,12,35.75,0.6153783129931109,0.05757270569961709,0.7134930073852925,8.56191608862351
10752,inner_validation,12,35.75,0.6126649222606927,0.05742734457722846,0.7116372422093163,8.539646906511797
11264,inner_validation,12,35.75,0.6123857001439269,0.05759226266210373,0.7113923113021178,8.536707735625413
11776,inner_validation,12,35.75,0.6153922546524991,0.05670407610954715,0.7137633554238851,8.565160265086622
12288,inner_validation,12,35.75,0.6184175461901303,0.05664646898413669,0.7158983416378502,8.590780099654202
12800,inner_validation,12,35.75,0.6186287477198181,0.05606654444672333,0.7162201600698556,8.594641920838267
13312,inner_validation,12,35.75,0.6202689354028709,0.05580071156284822,0.7174480413131551,8.60937649575786
13824,inner_validation,12,35.75,0.6214092292430965,0.05585117903205206,0.7182311067605519,8.618773281126623
14336,inner_validation,12,35.75,0.6197778052226333,0.05573175939742291,0.7171249358366164,8.605499230039397
14848,inner_validation,12,35.75,0.6206247765977736,0.055855557293042396,0.7176806764305287,8.612168117166345
15360,inner_validation,12,35.75,0.6201173569445567,0.05598532448462543,0.7172865525158021,8.607438630189625
15872,inner_validation,12,35.75,0.620225666995814,0.055983432168666934,0.7173629372464698,8.608355246957638
16384,inner_validation,12,35.75,0.6220476494326627,0.05578335217418066,0.7186983489506096,8.624380187407315
16896,inner_validation,12,35.75,0.6242358618744628,0.055226479758443116,0.720397159384591,8.644765912615092
17408,inner_validation,12,35.75,0.6240739407276104,0.05481676639283534,0.7204067285914766,8.644880743097719
17920,inner_validation,12,35.75,0.6193825621115921,0.05441211765221221,0.7172441581824508,8.60692989818941
18432,inner_validation,12,35.75,0.6198635722434283,0.05447312548973366,0.7175625629234798,8.610750755081757
18944,inner_validation,12,35.75,0.6231506327021012,0.054902194393740576,0.7197347845733487,8.636817414880184
19456,inner_validation,12,35.75,0.6208763143657182,0.05484163804722636,0.7181609286418348,8.617931143702018
19968,inner_validation,12,35.75,0.6204444964718862,0.05471931416117831,0.7178953532819667,8.614744239383601
20480,inner_validation,12,35.75,0.6194768852173004,0.05448030575188045,0.7172897279265461,8.607476735118553
20992,inner_validation,12,35.75,0.621512298714702,0.054454410918373754,0.7187222858247794,8.624667429897352
21504,inner_validation,12,35.75,0.6199146956647809,0.054684264755905744,0.7175350075385748,8.610420090462897
22016,inner_validation,12,35.75,0.6191679508596443,0.05485028350799335,0.7169624805493529,8.603549766592234
22528,inner_validation,12,35.75,0.6193504003708351,0.05471765865045567,0.7171299826644478,8.605559791973374
23040,inner_validation,12,35.75,0.619350634359004,0.05482181762377621,0.7170988987641699,8.605186785170039
23552,inner_validation,12,35.75,0.6188663710542535,0.0547353985181222,0.7167858401825407,8.601430082190488
24064,inner_validation,12,35.75,0.6186069017782815,0.05430954032291746,0.7167319691479218,8.600783629775062
24576,inner_validation,12,35.75,0.6199310476816776,0.05397084902428934,0.7177604786698875,8.61312574403865
25088,inner_validation,12,35.75,0.6212183646493656,0.053778883549696586,0.7187191901896469,8.624630282275763
25600,inner_validation,12,35.75,0.6193367209350586,0.05342730589212826,0.7175075128869026,8.610090154642831
26112,inner_validation,12,35.75,0.6212601156545129,0.05323034708577834,0.7189129768324255,8.626955721989106
26624,inner_validation,12,35.75,0.6217364531791679,0.05292652136548375,0.7193375608157724,8.632050729789269
27136,inner_validation,12,35.75,0.6237642562996962,0.05267325127525812,0.7208330040272098,8.649996048326518
27648,inner_validation,12,35.75,0.6215176394071548,0.0527410811736554,0.7192400232329117,8.63088027879494
28160,inner_validation,12,35.75,0.6217693254119893,0.05272241848487438,0.7194218022429301,8.633061626915161
28672,inner_validation,12,35.75,0.6222967512775509,0.05262434324938397,0.7198204229194705,8.637845075033646
29184,inner_validation,12,35.75,0.6232393004608904,0.052425432146327,0.7205398806787252,8.646478568144703
29696,inner_validation,12,35.75,0.6217058098650333,0.05226571621313234,0.7195143520415836,8.634172224499004
30208,inner_validation,12,35.75,0.6226227069765791,0.0523193614148153,0.7201400864591606,8.641681037509928
30720,inner_validation,12,35.75,0.6270038182205949,0.052060449830941324,0.7232845378051341,8.67941445366161
31232,inner_validation,12,35.75,0.6264170818492706,0.052056661811523776,0.7228749587510324,8.674499505012388
31744,inner_validation,12,35.75,0.6260575347166519,0.05180810392447635,0.7226978431243135,8.672374117491762
32256,inner_validation,12,35.75,0.624294725676348,0.051647680776231636,0.7215120037405741,8.658144044886889
32768,inner_validation,12,35.75,0.6255685951978978,0.051451124836004676,0.722462679187727,8.669552150252724
