split,months,mean_active_assets,mean_spearman,mean_mse,mean_high_risk_top25_overlap,worst_high_risk_top25_overlap,mean_low_risk_top25_overlap,worst_low_risk_top25_overlap,mean_reward,total_reward
train,126,29.484126984126984,0.6574313909677446,0.049892860678077945,0.5449577979339885,0.0,0.6545414462081128,0.3333333333333333,0.7452341154739979,93.89949854972373
inner_validation,12,35.75,0.6270038182205949,0.052060449830941324,0.4907407407407407,0.3333333333333333,0.6203703703703703,0.4444444444444444,0.7232845378051341,8.67941445366161
validation,26,36.0,0.6081277294602381,0.04976949593986815,0.4700854700854701,0.1111111111111111,0.6923076923076923,0.4444444444444444,0.7107585618402061,18.47972260784536
test,11,36.0,0.6689964838750598,0.045899266757311014,0.4848484848484848,0.3333333333333333,0.7272727272727273,0.5555555555555556,0.7545277586853486,8.299805345538834
